"[3067, 3744, 3767, 4721, 4904, 4993, 5207, 5632, 5760, 5948, 6233, 6530, 6770, 7206, 7656]"
"[1775, 3063, 3247, 3740, 3763, 4989, 5111, 5628, 5920, 5944, 6229, 6526, 7347, 7652]"
"[1774, 3062, 3246, 3739, 3762, 4988, 5110, 5627, 5919, 6228, 6525, 7346, 7651]"
