"[204, 273, 1909, 2069, 2177, 2264, 2516, 2874, 3065, 3380, 4023, 4925, 4998, 5104, 5247, 5330, 5787, 6059, 6242, 6522, 6567, 6802, 7111, 7279, 7417, 7684, 8268, 8563]"
"[2071, 3068, 3243, 4999, 5251, 5333, 6067, 6244, 6525, 6570, 7285, 7419, 7691]"
"[202, 271, 1910, 2068, 2178, 2265, 2517, 2873, 3063, 4024, 4923, 4996, 5102, 5246, 5329, 5791, 6057, 6240, 6520, 6561, 6801, 7110, 7277, 7416, 7682, 8269, 8562]"
