"[64, 440, 726, 926, 1200, 1978, 2122, 2425, 2999, 3820, 4080, 4902, 5112, 5723, 5924, 6130, 6453, 6908, 7311, 7577, 7957, 8206]"
"[63, 439, 727, 925, 1199, 1977, 2121, 2424, 3000, 3819, 4079, 4901, 5111, 5722, 5923, 6129, 6451, 6907, 7310, 7576, 7955, 8204]"
"[65, 441, 728, 933, 1204, 1979, 2124, 2426, 3001, 3821, 4081, 4903, 5106, 5734, 5929, 6131, 6468, 6904, 7312, 7578, 7958, 8225]"
