"[1911, 2071, 2179, 2267, 2518, 4025, 5000, 5248, 6240, 6524, 6564, 7414, 8567]"
"[1910, 2070, 2180, 2266, 2517, 3068, 4024, 4999, 5247, 6241, 6525, 6563, 7413, 7683, 8566]"
"[1912, 2069, 2178, 2519, 4026, 4998, 5249, 6062, 6239, 6523, 6562, 7415, 7681, 8565]"
